"Gottheil, Fred",ECON,484,"
                      Really helpful course
                  ",awesome
"Gottheil, Fred",,103,"
                      Really unhelpful, he writes his own textbook which he requires you to buy and comes out with a new version of his book every year, even though there are almost non-existent  changes, so you he can require students to buy new ones instead of used ones. Also his lectures are painful to listen too. Unfortunately this a mandatory class for many people.
                  ",poor
"Gottheil, Fred",ECON,102,"
                      His tests aren't easy passes, but that's because he actually cares that students are learning the material. If you attend his classes and read the book, you'll get the grade you deserve. You work for it, and you learn so much. His lectures are stories, never just a recitation of boring  slides. His book is also an interesting read. 
                  ",good
"Gottheil, Fred",ECON,103,"
                      Professor Gottheil is incredibly nice, and knowledgeable about econ. That being said I had a hard time learning anything from him. I took this class as a freshmen and got a B, maybe I am just mad about it. Since then, in the other 9 Econ courses I've taken, I've only gotten A's or A+'s. My suggestion is to teach yourself the course from the book.
                  ",awful
"Gottheil, Fred",ECON,103,"
                      This was one of the best classes I took at the U of I! I didn't think I was going to be interested in Economics, but Professor Gottheil made it very interesting with his stories and examples! I found out that 100% of the proceeds from his book go directly into Josh's Fund, scholarships for nurses who preform bone marrow transplants. Amazing!!!
                  ",awesome
"Gottheil, Fred",ECON,102,"
                      ""I've taught this course over a thousand times but I'm always excited for the next class."" Gottheil genuinely values the content and loves teaching. He explains complex concepts in very simple, real-life examples. He's personable and entertaining. His tests may be challenging because he really cares that students fully grasp the material.
                  ",awesome
"Gottheil, Fred",ECON,102,"
                      Very tough professor, the lectures are difficult to follow, expecations on assignments and exams are not clear. The grades depends on ta since there are no good econ tas for his class. This old man is very hard to talk, and not approachable in office hours after all.
                  ",awful
"Gottheil, Fred",ECON,103,"
                      His lectures are extreme confusing and not organized, exams are very difficult which is really abstract and objective, TA grading harshly, he is a terrible professor and not sure why he teach Economics rather than any other subjects, not recommended.
                  ",awful
"Gottheil, Fred",ECON,103,"
                      Very boring lectures, makes you buy a book that he wrote for $275, then encourages you to pay an extra $15 to subscribe to the Wall Street Journal. I've never met a professor that makes you purchase his/her own book (usually they just give it to you in PDF). I could have learned more about macroeconomics for free at the public library.
                  ",poor
"Gottheil, Fred",ECON,490,"
                      Professor Gottheil has been my favorite economics professor thus far. Instead of teaching the typical profit driven economics course, he focuses on quality of life and pursuit of happiness. If you have the opportunity to take a 490 with him do it. You won't have to work too hard and you'll come out a better person.
                  ",awesome
